"location","latitude","longitude"
"Coleville EBAM",38.545692,-119.47885
"GBUAPCD EBAM @ Bento",37.805447,-118.472275
"Mira Loma - Van Bure",33.996387,-117.4925
"Leo HS",41.221416,-85.01682
"St. Petersburg Colle",27.9711,-82.7361
"GBUAPCD EBAM @ Bridg",38.257656,-119.21844
"Joe Neal",36.270584,-115.23826
"Ann Arbor",42.4164,-83.9019
"Lone Pine EBAM",36.60725,-118.05464
"East High School",41.063526,-81.468956
"Leavenworth_Mobile",47.55857,-120.67267
"Alabama-Coushatta",30.6681,-94.6739
"Millville",39.42227,-75.0252
"MMCA81014",35.408226,-120.546585
"GBUAPCD EBAM @ Crowl",37.5666,-118.74174
"GBUAPCD EBAM @ Lone",36.60902,-118.05773
"JENISON",42.8944,-85.8528
"EASTBND",38.9181,-84.8528
"GBUAPCD EBAM @ Bisho",37.360683,-118.33084
"MMCA81033",38.507122,-122.47151
"MMFRA1001",39.07577,-121.6341
"MMCA82021",38.545628,-119.47885
"Unit1027",36.135857,-118.81096
"MMNPS1027",40.552006,-124.12581
"Ellensburg_Mobile",46.993824,-120.54493
"MMCA81011",32.79214,-115.56308
"Beaverton - Highland",45.4702,-122.8159
"Mt Vernon-S 2nd St",48.4102,-122.3376
"Unit1029",41.728584,-122.52164
"Coleville EBAM",38.545715,-119.478874
"MMCA81012",40.639565,-122.23835
"Rahway PM",40.603943,-74.27618
"PM2.5 Mammoth Lakes",37.64579,-118.96657
"GBUAPCD EBAM @ Lee V",37.36075,-118.330864
"District 6",41.55523,-81.57526
"MMNPS1031",40.800735,-124.15847
"MMFRA1001",39.396545,-121.1436
"NEWTWN",38.065,-84.5
"RIVER_Terrace",38.895683,-76.95809
"GBUAPCD EBAM @ Woodf",38.765644,-119.80739
"Plain_Mobile",47.768585,-120.66456
"MMFRA1001",39.43974,-121.071075
"York",39.9653,-76.6994
"GPORT YC",30.39,-89.0497
"Yosemite Village - V",37.7486,-119.5869
"GBUAPCD EBAM @ Bisho",37.360695,-118.330826
"Park Place C416",29.68639,-95.29472
"MMFRA1001",39.482384,-121.22113
"Billings St. Luke's",45.78218,-108.51153
"Unit153",48.97116,-115.19513
"GBUAPCD EBAM @ Lone",36.60898,-118.05792
"GBUAPCD EBAM @ Lone",36.609043,-118.05797
"Dysart",33.6369,-112.3394
"MMNPS1026",40.946926,-123.63657
"Piney Run",39.7058,-79.0119
"MMCA81014",35.407883,-120.54661
"Mobile_Cle Elum",47.19745,-120.958466
"Cle Elum_Mobile",47.19761,-120.95825
"710 Near Road",33.85966,-118.20071
"GBUAPCD EBAM @ Alpin",38.76629,-119.80754
"MENDNHAL",36.109005,-79.802315
"Bill Stanley",36.3619,-118.0108
"Mobile_Newport",48.18652,-117.04903
"San Ysidro",32.54268,-117.03075
"Ohio DES",39.954475,-82.75887
"GREEN BAY UW",44.53,-87.9089
"GBUAPCD EBAM @ Lee V",37.360703,-118.3308
"MOUNDSVILLE",39.9158,-80.7342
"Ajo",32.382034,-112.85745
"CICERO",41.8553,-87.7525
"GBUAPCD EBAM @ Woodf",38.765625,-119.80741
"MMCA81030",38.561485,-121.50905
"Ellensburg_Mobile",46.99364,-120.545
"South Carroll",39.4442,-77.0417
"SOUTH FAYETTE",40.3819,-80.1856
"MMCA81023",38.21992,-122.26706
"MMCA82037",38.56082,-121.50703
"MMCA81033",38.560833,-121.50703
"MMNPS1026",40.946873,-123.636444
"San Jose - Jackson S",37.3483,-121.8947
"Lizard Tail",36.5432,-117.9418
"Cle Elum_Mobile",47.197567,-120.95818
"Dawsonville",34.3778,-84.0561
"W Greenwich",41.615,-71.7197
"Acadia NP - McFarlan",44.37705,-68.2609
"Springfield Well Fd",40.00103,-83.80456
"MMCA81042",38.510666,-122.80584
"Pomona",34.0667,-117.7506
"Cle Elum_Mobile",47.19764,-120.95836
"PM2.5 Mammoth Lakes",37.64579,-118.96661
"Plain_Mobile",47.768543,-120.6645
"Unit153",48.971157,-115.195045
"MMFRA1001",39.075794,-121.6341
"MMCA81051",35.527134,-120.52879
"Spanish Springs",39.621418,-119.7188
"HU-Beltsville",39.0553,-76.8783
"Unit1029",41.7285,-122.521614
"San Ysidro",32.543476,-117.02903
"Unit386",35.687035,-105.89559
"Bridgeport EBAM",38.24773,-119.22749
"GBUAPCD EBAM @ June",37.784473,-119.07373
"Unit386",35.687046,-105.895584
"UH Coastal Center C697",29.3879,-95.0414
"HOOK",40.5625,-80.5042
"MMCA81033",38.56082,-121.50716
"MMCA81010",38.933228,-119.971886
"Unit153",48.97126,-115.195114
"Kona",19.5097,-155.9133
"MMNPS1031",40.800724,-124.1584
"Houston",40.269,-80.244
"MMCA81014",35.40784,-120.54674
"GBUAPCD EBAM @ Lone",36.60898,-118.0579
"Roseville - N.Sunris",38.74643,-121.26498
"Sisters Forest Servi",44.2921,-121.5555
"Pinnacle Peak Club H",33.7123,-111.8527
"Unit1029",41.728584,-122.521614
"MOBILE - SANTA ANA",35.338406,-106.52429
"PIKE2001",37.4828,-82.5353
"MMCA81014",35.407703,-120.548386
"GBUAPCD EBAM @ Woodf",38.765633,-119.80747
"Madison-Beach Road",41.2569,-72.55322
"Simi Valley - Cochra",34.2775,-118.6847
"MMCA82037",38.800396,-123.024796
"GBUAPCD EBAM @ June",37.784386,-119.07365
"Cranberry",36.1058,-82.0454
"SUMERDUCK",38.47367,-77.76772
"SHELDAHL",41.849434,-93.69762
"MMNPS1031",40.800648,-124.15849
"GBUAPCD EBAM @ Lee V",37.956882,-119.12093
"Fountain Hills",33.611,-111.7253
"Mobile_Newport",48.18651,-117.04913
"Unit153",46.926888,-114.09617
"Chatfield Park - 115",39.5339,-105.07
"Ponce",18.009556,-66.62725
"Unit0216",39.714367,-105.123985
"MMCA81051",35.527157,-120.52879
"MMCA81001",38.684406,-120.98825
NULL,34.66486,-120.11741
"GBUAPCD EBAM @ Lee V",37.360714,-118.330864
"ALBA",37.2385,-94.42468
"Rincon Valley School",38.481846,-122.67077
"MMCA82021",38.545616,-119.47883
"GBUAPCD EBAM @ June",37.784344,-119.07371
"MMCA81033",38.560852,-121.5072
"Laramie County Mobil",41.08536,-104.52277
"Pullman-Dexter Ave",46.7245,-117.1801
"GBUAPCD EBAM @ Lee V",37.36075,-118.330826
"AURORA HILLS",38.8594,-77.0589
"Flora",40.540455,-86.55303
"MMCA81033",38.80428,-123.01819
"Gonzales",36.511944,-121.442795
"Salamonie Reservoir",40.816,-85.6611
"MMNPS1031",40.800766,-124.15849
"Valparaiso",41.5114,-87.0353
"Vichy Elementary Sch",38.335022,-122.25794
"GBUAPCD EBAM @ Lone",36.60898,-118.05784
"GBUAPCD EBAM @ Lone",36.60898,-118.05786
"Lone Pine EBAM",36.607735,-118.06209
"MMNPS1026",40.946785,-123.63657
"Unit0216",39.714386,-105.12394
NULL,40.80112,-124.16589
"Lang C408",29.834167,-95.48917
"Alton",38.901318,-90.14621
"Vancouver-Blairmont",45.6166,-122.5166
"MMCA81016",41.30426,-123.53714
"Hidden Valley School",38.473576,-122.700745
"Plain_Mobile",47.197598,-120.95823
"MMFRA1001",39.43974,-121.07114
"GBUAPCD EBAM @ Lee V",37.956947,-119.12093
"MMCA81044",41.04756,-123.677086
"Gonzales",36.5123,-121.665054
"MMNPS1031",40.8007,-124.15849
"MMCA82037",38.56624,-121.49447
"Youngstown - Laird A",41.231167,-80.80191
"Sebastopol",38.403767,-122.81829
"MMCA81033",38.50722,-122.47153
"Unit386",35.687065,-105.89561
"Bridgeport EBAM",38.24774,-119.22747
"BUSHYFRK",36.306965,-79.09197
"PECK",41.4789,-75.5781
"Painesville - JFS",41.72681,-81.24216
"West Union",39.210857,-87.6683
"MICMAC",46.6964,-68.0331
"PM2.5 Mammoth Lakes",37.645607,-118.966484
"MMCA81044",38.56127,-121.50881
"GBUAPCD EBAM @ Lone",36.608997,-118.05792
"Black Hawk",44.155636,-103.315765
"Seminole Community C",28.7456,-81.31
"Lone Pine EBAM",36.6074,-118.054665
"San Diego - Beardsle",32.701492,-117.14965
"Lake Elsinore - W. F",33.676537,-117.331024
"FRANKLN",36.7086,-86.5664
"Cottage Grove City S",43.7995,-123.0535
"Conroe Relocated C78/A321",30.350302,-95.425125
"Camp Pendleton",33.217026,-117.39616
"Von Ormy Highway 16",29.162943,-98.58913
"Yukon",35.4794,-97.7508
"Calexico - Ethel Str",32.6761,-115.4833
"KS Hawaii",19.611916,-155.05504
"Provolt - Seed Orcha",42.290092,-123.2321
"Toll",39.39984,-119.73961
"MMCA82021",38.545616,-119.47885
"MMCA81033",38.50709,-122.47155
"North OKC",35.6128,-97.4722
"MMCA81014",35.408024,-120.54652
"PM2.5 Woodfords EBAM",38.765625,-119.80739
"MMCA81039",35.50351,-119.272575
"Avon",39.7589,-86.3972
"1008",38.673847,-120.94344
"MONTG",32.4069,-86.2564
"Unit0269",38.979256,-105.353035
"Anacortes-202 Ave",48.52059,-122.61428
"HOUSTON",38.1761,-89.7883
"PM2.5 Woodfords EBAM",38.765614,-119.807434
"Unit153",48.971203,-115.19506
"MMCA81014",35.4081,-120.546646
"Columbus - Franklin",39.96523,-82.95549
"Fayette C601",29.962475,-96.74587
"Parkgate (Eagle Rive",61.3267,-149.5697
"Shuttlesworth",33.565277,-86.79639
"Unit0216",40.07348,-106.09787
"Juarez 20 30 Club",31.735556,-106.459724
"Elizabeth",40.662388,-74.21481
"Burlington",44.4761,-73.2103
"MMCA81010",40.50522,-122.543434
"MMCA81010",40.735394,-122.228264
"Mobile_Newport",48.18651,-117.04907
"Mobile_Cle Elum",47.19758,-120.958336
"MMNPS1031",40.800777,-124.15847
"GBUAPCD EBAM 1",37.95694,-119.120895
"Mobile_Newport",48.186455,-117.04898
"GBUAPCD EBAM @ Bisho",37.360703,-118.33084
"PM2.5 Woodfords EBAM",38.76555,-119.80741
"MMCA81033",38.804268,-123.01819
"Craters of the Moon",43.4606,-113.5622
"LEMONT",41.6681,-87.9906
"Oakland West",37.8148,-122.2824
"MMNPS1026",40.946903,-123.636444
"Whiteface Mtn",44.3647,-73.9017
"SETRPC Port Arthur C",29.865,-93.955
"MMCA81014",35.40793,-120.54669
"PM2.5 Mammoth Lakes",37.645832,-118.96659
"MMCA81030",38.933155,-119.97184
"GOLF_LN",36.5144,-87.3278
"Burdens Creek",35.8894,-78.8747
"HUNTINGTON",38.243664,-82.25568
"Plain_Mobile",47.768566,-120.66451
"MMNPS1026",40.946796,-123.63647
"GBUAPCD EBAM @ Crowl",37.566654,-118.74182
"WAIKOLOA",19.977467,-155.79807
"Queens Near-road",40.739265,-73.817696
"MMCA81010",40.505302,-122.54335
"MMCA81051",35.52717,-120.528755
"Salton Sea Beach",33.37911,-116.01605
"MMNPS1031",40.800743,-124.1584
"GBUAPCD EBAM @ June",37.78444,-119.0736
"DP4TH - DETROIT 4TH",42.312157,-83.09194
"GBUAPCD EBAM @ June",37.784344,-119.073685
"MMFRA1001",39.075817,-121.63416
"Multorpor",45.28845,-121.782776
"MMCA81044",38.561367,-121.508965
"Mackville",37.7046,-85.0485
"Hershey",40.2722,-76.6814
"GBUAPCD EBAM @ June",37.784428,-119.07366
"MMCA81012",40.639523,-122.23829
"GBUAPCD EBAM @ Bridg",38.257698,-119.21842
"Great Falls Overlook",47.494316,-111.303314
"Santa Rosa Fire Stat",38.43835,-122.67117
"GBUAPCD EBAM @ June",37.784557,-119.073555
"St. Andrews Park",30.1289,-85.7381
"Jackson Road",27.0892,-82.3625
"Unit0269",38.979282,-105.35304
"MMCA81010",38.933186,-119.97182
"GBUAPCD EBAM @ Bento",37.817753,-118.47594
"GBUAPCD EBAM @ Lone",36.60898,-118.057755
"GBUAPCD EBAM @ Bento",37.817753,-118.47592
"MMCA82026",38.472824,-121.38105
"MMNPS1017",41.426727,-122.38115
"PM2.5 Woodfords EBAM",38.76558,-119.807434
"MMFRA1001",39.396435,-121.14394
"Irmo",34.0511,-81.155
"MMCA81010",38.933155,-119.971794
"Unit153",48.970978,-115.1949
"Lone Pine EBAM",36.607292,-118.05468
"GBUAPCD EBAM @ Lone",36.609062,-118.05784
"Coleville EBAM",38.54578,-119.47883
"Emporia",40.0025,-85.6569
"Mobile_WhiteSalmon",45.73235,-121.492355
"Lone Pine EBAM",36.607616,-118.062126
"MMCA81015",38.610893,-122.86886
"GBUAPCD EBAM @ June",37.78445,-119.07371
"MMNPS1027",40.102737,-123.793884
"Lake Elsinore - W. F",33.6747,-117.3358
"Mud Run",39.85567,-83.99773
"MMCA81014",35.407852,-120.54674
"Torres Martinez Admi",33.561123,-116.153564
"GBUAPCD EBAM @ Bridg",38.25768,-119.218376
"GARINGER",35.2411,-80.7831
"MMCA81042",38.51075,-122.806015
"Carlsbad",32.38,-104.2622
"Farrell",41.215,-80.485
"MMCA81010",40.505253,-122.54337
"Coachline",32.3806,-111.1272
"South Tucson",32.20215,-110.96792
"Daniel South",42.7914,-110.0547
"TRPA Office",38.966434,-119.931015
"Ben Lomond",37.084457,-122.07631
"NMH48217",42.26167,-83.15789
"Coleville EBAM",38.545616,-119.47883
"Lone Pine EBAM",36.607292,-118.054665
"Hamilton PS 46",46.24362,-114.15889
"NWBLMFLD",38.70608,-92.09308
"Cle Elum_Mobile",47.197685,-120.95827
"Houston Texas Avenue C411",29.752777,-95.35028
"MMFRA1001",39.439716,-121.07111
"60 Near Road",34.0309,-117.6174
"Newark Firehouse",40.72099,-74.192894
"Unit0269",38.979263,-105.35302
"Corsicana C1051",32.0319,-96.3992
"Unit0269",38.979263,-105.35303
"Indpls-Ft. Harrison",39.85889,-86.021385
"Shenandoah NP",38.5231,-78.4347
"Rifle Ozone",39.5418,-107.7841
"MMCA81006",41.83921,-122.85137
"MMCA81032",38.21145,-122.132904
"Glendora - Laurel",34.1439,-117.8508
"MMCA81051",35.527233,-120.52882
"MMCA81032",38.211468,-122.13297
"MMNPS1027",40.55203,-124.12583
"MMCA81023",38.219967,-122.26706
"Unit1019",36.138355,-118.61711
"MMCA81014",35.407917,-120.54667
"Reno3",39.52508,-119.80772
"Santa Rosa Fire Stat",38.43834,-122.67107
"Woodland",38.6619,-121.7278
"Hurricane",37.179,-113.3052
"Unit0269",38.97925,-105.35305
"MMCA81030",38.933144,-119.97182
"Rifle Particulate",39.5318,-107.7823
"GBUAPCD EBAM @ Crowl",37.566795,-118.741974
"Carmel Valley AMS",36.48187,-121.73333
"New Roads",30.6817,-91.3661
"MMFRA1001",39.075836,-121.63416
"GBUAPCD EBAM @ Lone",36.60902,-118.05786
"Mobile-Goldendale",45.815758,-120.81367
"MMCA81026",41.528053,-122.3645
"Del Mar - Mira Costa",32.952087,-117.26406
"Willits Justice Cent",39.39861,-123.35872
"MMCA81033",38.507133,-122.47157
"MMCA81051",35.52733,-120.52873
"Elkhart-Prairie St.",41.657154,-85.968445
"Delray Beach",26.456944,-80.09278
"Yellow Brick Buildin",39.192966,-106.82318
"MMNPS1026",40.94684,-123.63655
"MMCA81030",38.933132,-119.97186
"GBUAPCD EBAM @ Lee V",37.95684,-119.12096
"MMCA81036",38.753113,-122.62208
"GBUAPCD EBAM @ Crowl",37.566807,-118.7421
"GBUAPCD EBAM @ Bento",37.821316,-118.47714
"MILWAUKEE SER DNR",43.0611,-87.9125
"GBUAPCD EBAM @ Woodf",38.765614,-119.80745
"GBUAPCD EBAM @ Lee V",37.360737,-118.330826
"MMNPS1026",40.946774,-123.63634
"Coleville EBAM",38.545532,-119.478676
"Douglas Red Cross",31.3492,-109.53968
"Unit0216",40.073505,-106.09791
"MMCA81033",34.390114,-119.5064
"Willits Unified Scho",39.39861,-123.35872
"Rock Springs SLAMS",41.59259,-109.22012
"Johnson County",43.87483,-106.50974
"GBUAPCD EBAM @ Lee V",37.36079,-118.33084
"MMNPS1026",40.946785,-123.63647
"GBUAPCD EBAM @ Alpin",38.76631,-119.807686
"MMCA81030",38.93312,-119.971794
"GBUAPCD EBAM @ Bento",37.81729,-118.47534
"Cle Elum_Mobile",47.197598,-120.95823
"MMCA81023",34.252056,-116.833916
"MMCA81015",38.610924,-122.86884
"Cincinnati Near Road",39.146027,-84.538376
"GBUAPCD EBAM @ Lee V",37.956882,-119.121
"Bridgeport EBAM",38.24773,-119.22747
"Granger-Beckley St.",41.754723,-86.11
"Pembroke Exchange St",43.132442,-71.45827
"Brewster_Mobile",48.08878,-119.78449
"MMFRA1001",39.439705,-121.07111
"Pinal County Housing",32.891056,-111.5705
"Unit153",48.97117,-115.19503
"Pisgah, Harrison Cou",41.6681,-95.9431
"MMCA81006",41.83924,-122.85131
"MMCA82003",38.247272,-119.22003
"Mobile-Republic",48.649338,-118.73834
"MOBILE-KICKAPOO",35.4884,-97.09028
"Colusa - Sunrise Blv",39.18919,-121.99887
"MMCA81033",38.56081,-121.507095
"Near Road",26.131256,-80.16785
"Mobile_WhiteSalmon",48.186474,-117.04903
"Altoona",40.515,-78.3889
NULL,34.692,-120.04433
"MMCA81011",32.79213,-115.56302
"LAB",40.0917,-75.0978
"PM2.5 Mammoth Lakes",37.64566,-118.96646
"GBUAPCD EBAM @ Crowl",37.566708,-118.742
"MMCA81036",38.75322,-122.62216
"MMCA81044",41.047474,-123.677086
"METH",39.9611,-77.4756
"MMCA81010",38.933155,-119.97191
"Plain_Mobile",47.768524,-120.6645
"SOUFIRST",46.66186,-123.7916
"Paradise Road",34.5414,-119.7906
"Leavenworth_Mobile",47.558613,-120.67269
"Sequoia and Kings Ca",36.5672,-118.7772
"GBUAPCD EBAM @ Alpin",38.76629,-119.80756
"BUTLER MANUF. CO NEA",39.2828,-78.0814
"Dayton - Sinclair",39.758236,-84.19737
"ETOWN2",37.7064,-85.8517
"Gridley",39.32756,-121.66881
"Incline",39.25044,-119.95674
"MMCA82041",40.882713,-121.65397
"Soda Springs SO2",42.6953,-111.5939
"WNVLELSC",35.50716,-82.96338
"Lone Pine EBAM",36.60769,-118.062195
"Cle Elum_Mobile",47.197567,-120.95827
"MMCA81010",40.742348,-122.23112
"MMCA81012",40.568703,-122.23657
"GBUAPCD EBAM @ Woodf",38.765633,-119.807495
"MMCA81010",38.933197,-119.971756
"Cody SLAMS",44.524643,-109.068504
"CTCLUSI Radar Hill-O",43.381943,-124.263885
"BDED",35.6075,-82.5833
"Mobile_Newport",48.186462,-117.04918
"ROLAND",35.40814,-94.524414
"BEACH ROAD",37.35748,-77.59355
"MMCA81014",35.40796,-120.546585
"Freemansburg",40.6281,-75.3411
"MMCA81010",39.649143,-121.64968
"Liberty (SAHS)",40.3239,-79.8683
"Miami Golf Course",33.419018,-110.829666
"MMCA81001",38.68431,-120.98823
"Indio - Jackson Stre",33.708565,-116.21539
"Wade School",35.1487,-78.7068
"Ohio Drive",38.87605,-77.03313
"GBUAPCD EBAM @ Bridg",38.257656,-119.21848
"Hartford-Village Gre",41.764835,-72.66823
"James River-South",37.10446,-93.25339
"MMNPS1027",40.10146,-123.79521
"Methodist Hill",39.9611,-77.4756
"MMCA82009",37.442886,-119.99341
"Chippewa Lake",41.0604,-81.9239
"GBUAPCD EBAM @ Bento",37.81774,-118.47592
"MMCA81010",38.93531,-119.97907
"Farrar",37.70264,-89.69864
"Cle Elum_Mobile",47.197586,-120.95836
"Unit328",35.671516,-105.955696
"GBUAPCD EBAM @ Lone",36.608944,-118.05801
"Lewistown",47.04854,-109.455315
"Unit1019",36.138313,-118.61717
"MONROEMS",34.9739,-80.5408
"Cortina Rancheria",39.015,-122.28611
"Santa Rosa Fire Stat",38.43834,-122.67115
"MMNPS1027",40.102737,-123.79384
"GBUAPCD EBAM @ Bento",37.362045,-118.39112
"Palo Duro",34.8803,-101.6649
"Unit1029",41.728542,-122.52142
"LIBERTY",39.3031,-94.3764
"GBUAPCD EBAM @ Bento",37.817753,-118.47596
"MMCA82023",38.560898,-121.507545
"PM2.5 Mammoth Lakes",37.645813,-118.96653
"Manvel Croix Park C84",29.520443,-95.39251
"Peckville",41.4789,-75.5781
"Unit0269",38.97929,-105.35299
"GBUAPCD EBAM @ Lone",36.608997,-118.05771
"Conroe Relocated C78",30.3503,-95.425
"MMCA81051",35.527115,-120.52882
"GBUAPCD EBAM @ Lee V",37.360703,-118.330864
"SEAFORD",38.6444,-75.6131
"MA",40.712063,-112.11112
"Centennial",41.3642,-106.2399
"MMFRA1001",39.396435,-121.14405
"Broadus",45.440296,-105.37028
"Bonifay",30.8475,-85.6044
"GBUAPCD EBAM @ Lone",36.60903,-118.05788
"Leonia",40.870438,-73.992
"Houston Monroe C406",29.6256,-95.2672
"Leavenworth_Mobile",47.558548,-120.67267
"MMFRA1001",39.075848,-121.63416
"GREE",40.3053,-79.5061
"Mobile_WhiteSalmon",45.73233,-121.49231
"Las Vegas Paiute",36.357777,-115.36139
"Twin Falls PM25",42.56509,-114.49472
"MMCA81008",38.67384,-120.94344
"Globe",39.58427,-81.67015
"MMCA81033",38.5611,-121.5072
"Cle Elum_Mobile",47.19761,-120.95823
"Kessler",34.984688,-97.52275
"Unit1029",41.728596,-122.521545
"Mobile-Goldendale",45.81584,-120.81371
"LESTER BUILDING SYST",39.28102,-78.08157
"Lake Jackson C1016",29.0436,-95.4736
"Arvin - Di Giorgio S",35.23918,-118.78863
"Maryland Heights",38.7109,-90.4759
"MMCA81042",38.510708,-122.80597
"GBUAPCD EBAM @ Bridg",38.25768,-119.21844
"West 43rd",33.4064,-112.1443
"RYDER",47.94086,-101.57159
"MMCA82003",38.247314,-119.22005
"Ramapo",41.058617,-74.25555
"Willits Justice Buil",39.39861,-123.35872
"Indio - Jackson Stre",33.7097,-116.2097
"MMCA81042",38.510727,-122.80591
"Sipayik-ME",44.9636,-67.0608
"SHELBY FARMS",35.15159,-89.85022
"Corvallis - Circle B",44.5884,-123.2673
"MMNPS1017",41.42676,-122.38111
"PM2.5 Woodfords EBAM",38.765602,-119.807365
"Cle Elum_Mobile",47.19763,-120.95825
"MMCA81033",38.506985,-122.4717
"22nd Street & Craycr",32.205,-110.8772
"MMCA81027",41.79637,-123.37539
"GBUAPCD EBAM @ Lee V",37.957012,-119.1207
"Vichy Elementary Sch",38.335064,-122.258026
"MMCA81016",41.304314,-123.5372
"Gothic",38.9564,-106.9858
"Station 160 North",36.34435,-79.81614
"Burns - Washington S",43.58925,-119.0483
"MMCA81033",38.80428,-123.018166
"Mobile_WhiteSalmon",45.732414,-121.49233
"Edgewood",39.41,-76.2967
"PM2.5 Woodfords EBAM",38.76558,-119.807365
"MMNPS1026",40.946785,-123.63651
"Crosby Library C553",29.920834,-95.06834
"MMCA81015",38.610912,-122.86884
"Unit153",48.971222,-115.195045
"Sandersville",32.9672,-82.807
"PG Equestrian Center",38.81207,-76.74419
"Cle Elum_Mobile",47.197567,-120.95829
"Fresno-Pacific",36.72622,-119.73249
"2912 Coffey",41.133316,-95.95608
"Mobile_WhiteSalmon",45.73236,-121.492355
"Coleville EBAM",38.54581,-119.47885
"Roseville - N.Sunris",38.7458,-121.2653
"MMCA82023",38.56084,-121.50758
"Prince Edward",37.17,-78.31
"Pinnacle State Park",42.0972,-77.2103
"MMCA81012",40.639565,-122.238304
"MMCA81010",40.735374,-122.228264
"MMNPS1026",40.94671,-123.63657
"Unit1019",36.13825,-118.617134
"GBUAPCD EBAM @ Crowl",37.566742,-118.742035
"Brockton",42.06512,-71.01269
"Fresh Kills",40.5802,-74.1994
"Lacrosse-Hill St",46.8153,-117.8739
"Burneyville",33.8825,-97.2758
"MMCA81014",35.40796,-120.54654
"PM2.5 Mammoth Lakes",37.64579,-118.96651
"MMFRA1001",39.396423,-121.14401
"Palm Springs - Fire",33.852604,-116.54096
"Canton - Malone Coll",40.828053,-81.378334
"GBUAPCD EBAM @ Alpin",38.76617,-119.8076
"Baytown C148",29.7708,-95.0311
"Unit386",35.687042,-105.89561
"GBUAPCD EBAM @ Crowl",37.566742,-118.74206
"Moscow",46.7282,-116.9546
"Unit153",48.97119,-115.195145
"Alba",37.2385,-94.42468
"Bismarck Residential",46.8253,-100.7681
"1008",38.67388,-120.94338
"Seattle-South Park",47.5297,-122.3203
"PM2.5 Woodfords EBAM",38.76555,-119.807434
"South Valley",35.0186,-106.6519
"GBUAPCD EBAM @",36.609085,-118.057816
"Columbia",40.924606,-75.067825
"PM2.5 Mammoth Lakes",37.645855,-118.96664
"Echo Summit (seasona",38.81161,-120.0331
"MMNPS1017",41.426773,-122.38136
"PM2.5 Woodfords EBAM",38.76556,-119.80739
"Harrisburg",40.24699,-76.846985
"Aberdeen",45.468597,-98.494064
"GBUAPCD EBAM @ Lee V",37.956852,-119.121025
"MMCA81030",38.93312,-119.97186
"HARBOR BEACH",43.8364,-82.6431
"MMCA81023",34.25196,-116.833786
"MMCA81044",41.04751,-123.67706
"MMCA81014",35.408012,-120.54662
"MMNPS1027",40.55205,-124.12583
"MMCA81027",41.796307,-123.375374
"Carlisle",40.2464,-77.1867
"Mountains Edge",36.0075,-115.263054
NULL,34.69196,-120.04435
"Crestline - Lake Gre",34.24139,-117.27556
"Sumatra",30.1103,-84.9903
"GBUAPCD EBAM @ June",37.784462,-119.07375
"Unit1019",36.1384,-118.61715
"GBUAPCD EBAM @ Lone",36.608902,-118.05792
"Unit153",48.971256,-115.1951
"MMCA81010",40.73535,-122.228264
"Potato Creek State P",41.551666,-86.37056
